日期,关键词,标题,正文摘要,点赞,收藏,评论,分享,类型,作者,封面图URL,标签,笔记ID,xsec_token,链接
2026-08-21,DELF B2/法语B2备考/DELF备考,考了法语B2，劝大家不要想得太天真了,先说我的底子：纯法语零基础，不是语言相关专业。最开始入坑的理由特别感性 —— 迷上法剧、循环香颂，被巴黎的氛围感打动，同,594,940,180,106,图文,瑞琪,https://sns-na-i11.xhscdn.com/1040g0083244i4o4m0a2g5q91ia0sj3afqot00gg?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=30458b2171b7f179f01070e62a4ba3c6&t=6aa73592,,6a881073000000001702bd8d,YBEdKuee7TUBZki7j5_88y27IXASA9D0THcpImVaOTBM0=,https://www.xiaohongshu.com/explore/6a881073000000001702bd8d?xsec_token=YBEdKuee7TUBZki7j5_88y27IXASA9D0THcpImVaOTBM0=&xsec_source=app_note
2026-04-20,DELF B2/DELF B2口语/法语B2备考/DELF备考,DELF B2高分通过，3个月自主备考经验分享,背景：开始备考时水平大概在A2到B1更接近B1，听说读写相对均衡，听力稍微弱一点。 备考资料：ABC DELF B2，历,547,704,39,49,图文,神经胶质,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k831v68sius2i005p2bvtnqafnoqhtvju0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=cff589d91cc1d627b2c0c946e86c98b9&t=6aa73592,,69e5fe630000000022002f71,YBvn4owWU44ciXN1jU5AZ1xIqQVITu5Flxhadezu-jDvE=,https://www.xiaohongshu.com/explore/69e5fe630000000022002f71?xsec_token=YBvn4owWU44ciXN1jU5AZ1xIqQVITu5Flxhadezu-jDvE=&xsec_source=app_note
2026-08-25,DELF B2/法语B2备考,00年小小的老子在职不声不响通过法语b2,1、我的主线任务是法语B2上岸，然后跳槽到法企或者法语相关岗位，所以目前的公司就是过渡是支线，纯纯为了挣点生活费，上班那,433,337,28,48,图文,时间灰烬,https://sns-na-i11.xhscdn.com/1040g0083249gvb7enk0g5qgjnqag8u00hvdo2bg?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=707132e208c0ec4ccaed158b7e26c7ae&t=6aa73592,,6a8d24f9000000000f03c2bb,YBFQC6YPJ8sEyDGx-741bY6ZedlAUT5ihTm659CYpW3xM=,https://www.xiaohongshu.com/explore/6a8d24f9000000000f03c2bb?xsec_token=YBFQC6YPJ8sEyDGx-741bY6ZedlAUT5ihTm659CYpW3xM=&xsec_source=app_note
2026-03-30,DELF B2,🇫🇷Delf b2 三月 允自己骄傲一下吧,虽然口语很拉垮，但老天奶眷顾阅读和写作拿了满分 ！一时间不知道该拜谁，春天还是有很多愿望 现在也是官方认证的会说,437,184,86,19,图文,Garance Akane,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k031ub72l8qio8g49ocns8o06kgck71mpg?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=4a8103afc9c14117f8fd187a2352a4b8&t=6aa73592,,69ca51e5000000002800b0de,YBFiJF2MgcAv8AHIl487l33cjI5bCtETD2N9ODJgsWeJE=,https://www.xiaohongshu.com/explore/69ca51e5000000002800b0de?xsec_token=YBFiJF2MgcAv8AHIl487l33cjI5bCtETD2N9ODJgsWeJE=&xsec_source=app_note
2026-07-22,DELF B2/法语B2备考/DELF备考,先学一夏｜delfb2听力阅读备考,视频太长啦！分两期，先给出大家暑假备考听力和阅读的建议，大家暑假先学一“夏”啦！ #法语 #法语法语 #学法语,373,365,41,29,视频,莽撞天才,https://sns-na-i11.xhscdn.com/1040g2sg322ttagaa7k004a651qvhfmnb2gikrk0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=3bbded98b72d39eae4aec9bf0af937fd&t=6aa73592,,6a608199000000001d00e771,YBaosDGcD7tmkGD5knt4WeshjBgSAdmAqtN3gJClZDS5w=,https://www.xiaohongshu.com/explore/6a608199000000001d00e771?xsec_token=YBaosDGcD7tmkGD5knt4WeshjBgSAdmAqtN3gJClZDS5w=&xsec_source=app_note
2026-08-19,DELF B2/法语B2备考,因为考过了法语b2，说点xhs搜不到的,简单说下我自己： 本身就不是很有语言的那种，学习也挺普通的，所以我半年多b2阅读听力分数稳，写作口语也压线飘过整体还是比,269,249,22,19,图文,时间灰烬,https://sns-na-i11.xhscdn.com/1040g0083241tbl8bna0g5qgjnqag8u00ilhl9g8?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=31e5ccafbbe85b4ac48f2faf508e9c31&t=6aa73592,,6a855931000000000503130e,YBNtalTxzMWB4-IyFITfh6xBVKlV18NeIpbwMz4itVJYc=,https://www.xiaohongshu.com/explore/6a855931000000000503130e?xsec_token=YBNtalTxzMWB4-IyFITfh6xBVKlV18NeIpbwMz4itVJYc=&xsec_source=app_note
2026-04-27,DELF B2/DELF B2口语,今天带大家练口语啦,题目是vers une société sans enfant，提到现在的年轻人都不爱生小孩了，尤其是接受过高等教育的女,261,171,8,16,视频,Lilio✨,https://sns-na-i11.xhscdn.com/1040g2sg31vfh9501ig7049n3bc5vbq3u5n8mii0?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=fc1c16f88ae104c1c93ff6f733f75da6&t=6aa73592,,69ef76110000000038034b74,YB6dcBe7KMOQjVal_CCz3ceiqqbim3q5_6Kw1QRgZCZb8=,https://www.xiaohongshu.com/explore/69ef76110000000038034b74?xsec_token=YB6dcBe7KMOQjVal_CCz3ceiqqbim3q5_6Kw1QRgZCZb8=&xsec_source=app_note
2026-08-24,DELF B2/法语B2备考/DELF备考,考了法语B2，劝大家不要想得太天真了...,先说我的底子：纯法语零基础，非语言专业出身。 入坑理由特别感性——迷上法剧，同时也因为未来想去魁北克或法非地区看看，带着,253,348,71,39,图文,松间照月,https://sns-na-i11.xhscdn.com/spectrum/1040g0k032483j0ma74005qjp5r0l1h00g23ahog?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=aba58c1b1b5c628a0d8336518c9d3992&t=6aa73592,,6a8bb9300000000017003814,YB0fjYnmNxli_U17a2Wq4uYRpUoD-EqjsKw8MN_RCY97Q=,https://www.xiaohongshu.com/explore/6a8bb9300000000017003814?xsec_token=YB0fjYnmNxli_U17a2Wq4uYRpUoD-EqjsKw8MN_RCY97Q=&xsec_source=app_note
2026-08-19,DELF B2/法语B2备考/DELF备考,法语B2，浪费时间行为belike,本人底子不算好，只学过一点点基础的法语，让我开口说话或者让我做题的话，我根本就没谱，刚开始准备的时候心里特别没有底，我觉,244,199,28,18,图文,黑芒,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k032421cvnbgo6g5qhm49ojv301nmq8o48?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=58bcc37b98499d8bf2219d36a01b3ff1&t=6aa73592,,6a857a93000000002402cd7d,YBNtalTxzMWB4-IyFITfh6xNLgQOUDujQgv-XRksH3PQ8=,https://www.xiaohongshu.com/explore/6a857a93000000002402cd7d?xsec_token=YBNtalTxzMWB4-IyFITfh6xNLgQOUDujQgv-XRksH3PQ8=&xsec_source=app_note
2026-04-20,DELF B2,🇫🇷DELF B2 20天速通经验,20天速通DELF B2 日均学习时间1小时 大二学生 平时白天要上工科专业课 有一年半的法语专业学习基础 🧸阅读,206,195,17,18,图文,焚舟,https://sns-na-i11.xhscdn.com/notes_pre_post/1040g3k031v6b5v2f3q0g5o7f13q85skgn1v8ucg?imageView2/2/w/1440/format/webp&ap=5&sc=SRH_DTL&sign=6062515603fc9b6fdf33d16c9f943a8c&t=6aa73592,,69e60ce6000000001b021455,YBccrlfCB5I6cxLXDCvtYto6IF9pQmWiD66XyewyfR0IE=,https://www.xiaohongshu.com/explore/69e60ce6000000001b021455?xsec_token=YBccrlfCB5I6cxLXDCvtYto6IF9pQmWiD66XyewyfR0IE=&xsec_source=app_note
